Step	Training Loss	Validation Loss	Bleu	Ter	Rouge1	Rougel
250	2.627700	1.644197	0.065444	102.810470	0.064245	0.062051
500	1.628200	1.484654	0.288390	97.650880	0.133554	0.122853
750	1.500700	1.417847	0.354922	95.965540	0.156740	0.143596
1000	1.456000	1.378341	0.526384	94.247246	0.175121	0.161129
1250	1.411100	1.349486	0.554477	93.729404	0.173738	0.161623
1500	1.385600	1.325605	0.723026	93.122117	0.181949	0.168042
1750	1.363100	1.303805	0.823366	92.420676	0.187867	0.174535
2000	1.341900	1.287470	0.835699	91.884003	0.200039	0.184544
2250	1.320500	1.271032	1.002635	91.031918	0.211180	0.193990
2500	1.298800	1.258313	1.163212	90.937765	0.209801	0.192669
2750	1.294300	1.243220	1.153392	90.203371	0.217644	0.199842
3000	1.281100	1.228983	1.550688	89.370116	0.233425	0.211557
3250	1.267900	1.220164	1.675214	89.068826	0.239106	0.216840
3500	1.255400	1.205667	1.588106	88.645137	0.245444	0.223602
3750	1.233600	1.196426	1.820132	88.325016	0.257691	0.232497
4000	1.231600	1.183769	1.934878	87.920158	0.263296	0.238874
4250	1.228300	1.172010	2.287752	87.265794	0.277792	0.250632
4500	1.210700	1.161224	2.343722	86.922135	0.282720	0.255034
4750	1.202400	1.153722	2.513547	86.456078	0.291601	0.261398
5000	1.203500	1.140624	2.656975	85.942943	0.298051	0.268448
5250	1.186000	1.131168	2.922282	85.716976	0.307243	0.275083
5500	1.176700	1.121175	2.936947	85.213257	0.311061	0.278016
5750	1.170600	1.112464	3.180533	85.076735	0.315466	0.282364
6000	1.159600	1.105469	3.323173	84.888429	0.319794	0.286185
6250	1.158800	1.097890	3.658102	83.979851	0.331756	0.296160
6500	1.144200	1.090150	3.695026	83.880990	0.330546	0.296708
6750	1.140400	1.085703	3.923268	83.509086	0.333630	0.298861
7000	1.127600	1.077098	3.979903	83.579701	0.335560	0.300850
7250	1.130600	1.067477	4.094874	83.137181	0.342696	0.306930
7500	1.128700	1.063897	4.312253	82.755861	0.347492	0.310791
7750	1.120800	1.057359	4.397489	82.581678	0.349256	0.312309
8000	1.121200	1.052315	4.640964	82.657000	0.349732	0.313232
8250	1.104300	1.046337	4.787352	82.332172	0.355654	0.317175
8500	1.104100	1.041071	4.899065	82.181527	0.353432	0.317395
8750	1.088300	1.034734	5.154683	81.668393	0.362565	0.323850
9000	1.087000	1.028317	5.367251	81.343565	0.368787	0.329085
9250	1.085700	1.026232	5.270144	81.640147	0.366218	0.327269
9500	1.076600	1.020324	5.494634	81.254119	0.373639	0.332814
9750	1.085400	1.014452	5.601409	81.207043	0.372757	0.333228
10000	1.072300	1.008819	5.753288	81.004614	0.375827	0.336124
10250	1.062700	1.003951	5.824650	80.910460	0.377952	0.337083
10500	1.057900	0.997902	5.902168	80.821015	0.377506	0.337929
10750	1.054100	0.994118	5.981207	80.453818	0.382981	0.342387
11000	1.047600	0.990646	6.076846	80.279635	0.387679	0.346535
11250	1.059900	0.984334	6.084267	80.223143	0.388361	0.347105
11500	1.052700	0.981650	6.292561	80.016006	0.391179	0.350088
11750	1.044200	0.976151	6.273452	80.133697	0.390527	0.349778
12000	1.047100	0.973138	6.509788	79.870069	0.393277	0.352682
12250	1.034100	0.970219	6.706573	79.592317	0.398129	0.355785
12500	1.031600	0.966992	6.675276	79.375765	0.399087	0.356270
12750	1.021400	0.961170	6.745674	79.187459	0.403253	0.360308
13000	1.014900	0.959967	6.958013	79.210997	0.403968	0.360029
13250	1.020200	0.956045	7.025415	79.107429	0.406925	0.361880
13500	1.015900	0.953189	7.195114	79.145090	0.407031	0.362524
13750	1.009300	0.950787	7.065260	78.923830	0.406814	0.362172
14000	1.009800	0.943621	7.132338	78.905000	0.407837	0.364725
14250	1.010100	0.942448	7.317758	78.890877	0.410191	0.367012
14500	1.001300	0.938198	7.403996	78.490726	0.413053	0.369490
14750	1.005600	0.935948	7.478498	78.443649	0.410890	0.367736
