inputs,preds,labels
"When I was little , I thought my country was the best on the planet , and I grew up singing a song called "" Nothing To Envy . ""","Khi tôi còn nhỏ, tôi nghĩ đất nước mình là nơi tốt nhất trên hành tinh này, và tôi lớn lên cùng hát một bài hát có tên "" Không có gì để ghen tị ""","Khi tôi còn nhỏ , Tôi nghĩ rằng BắcTriều Tiên là đất nước tốt nhất trên thế giới và tôi thường hát bài "" Chúng ta chẳng có gì phải ghen tị . """
And I was very proud .,Và tôi đã rất tự hào.,Tôi đã rất tự hào về đất nước tôi .
"In school , we spent a lot of time studying the history of Kim Il-Sung , but we never learned much about the outside world , except that America , South Korea , Japan are the enemies .","Ở trường, chúng tôi dành rất nhiều thời gian nghiên cứu lịch sử của Kim Il-Sung, nhưng chúng tôi chưa bao giờ học được nhiều về thế giới bên ngoài, ngoại trừ nước Mỹ, Hàn Quốc, Nhật Bản là kẻ thù","Ở trường , chúng tôi dành rất nhiều thời gian để học về cuộc đời của chủ tịch Kim II- Sung , nhưng lại không học nhiều về thế giới bên ngoài , ngoại trừ việc Hoa Kỳ , Hàn Quốc và Nhật Bản là kẻ thù của chúng tôi ."
"Although I often wondered about the outside world , I thought I would spend my entire life in North Korea , until everything suddenly changed .","Mặc dù tôi thường thắc mắc về thế giới bên ngoài, tôi nghĩ rằng tôi sẽ sống cả đời mình ở Bắc Triều Tiên, cho đến khi mọi thứ đột nhiên thay đổi.","Mặc dù tôi đã từng tự hỏi không biết thế giới bên ngoài kia như thế nào , nhưng tôi vẫn nghĩ rằng mình sẽ sống cả cuộc đời ở BắcTriều Tiên , cho tới khi tất cả mọi thứ đột nhiên thay đổi ."
"When I was seven years old , I saw my first public execution , but I thought my life in North Korea was normal .","Khi tôi bảy tuổi, tôi chứng kiến lần đầu tiên được thực hiện trước công chúng, nhưng tôi nghĩ cuộc sống của mình ở Bắc Triều Tiên là bình thường.","Khi tôi lên 7 , tôi chứng kiến cảnh người ta xử bắn công khai lần đầu tiên trong đời , nhưng tôi vẫn nghĩ cuộc sống của mình ở đây là hoàn toàn bình thường ."
"My family was not poor , and myself , I had never experienced hunger .","Gia đình tôi không nghèo, và bản thân tôi, tôi chưa bao giờ nếm mùi đói.","Gia đình của tôi không nghèo , và bản thân tôi thì chưa từng phải chịu đói ."
"But one day , in 1995 , my mom brought home a letter from a coworker 's sister .","Nhưng một ngày, vào năm 1995, mẹ tôi mang về nhà một lá thư từ một người chị của đồng nghiệp.","Nhưng vào một ngày của năm 1995 , mẹ tôi mang về nhà một lá thư từ một người chị em cùng chỗ làm với mẹ ."
"It read , "" When you read this , all five family members will not exist in this world , because we haven 't eaten for the past two weeks .","Nó viết rằng, "" Khi bạn đọc cái này, tất cả năm thành viên trong gia đình sẽ không tồn tại trên thế giới này, bởi vì chúng ta đã không ăn gì trong hai tuần qua.","Trong đó có viết : Khi chị đọc được những dòng này thì cả gia đình 5 người của em đã không còn trên cõi đời này nữa , bởi vì cả nhà em đã không có gì để ăn trong hai tuần ."
"We are lying on the floor together , and our bodies are so weak we are ready to die . ""","Chúng ta đang cùng nằm trên sàn nhà, và cơ thể chúng ta yếu đến mức chúng ta sẵn sàng chết. ""","Tất cả cùng nằm trên sàn , và cơ thể chúng tôi yếu đến có thể cảm thấy như cái chết đang đến rất gần ."
I was so shocked .,Tôi đã rất sốc.,Tôi đã bị sốc .
This was the first time I heard that people in my country were suffering .,Đây là lần đầu tiên tôi nghe rằng mọi người trong nước tôi đang phải chịu đựng.,Vì đó là lần đầu tiên tôi biết rằng đồng bào của tôi đang phải chịu đựng như vậy .
"Soon after , when I was walking past a train station , I saw something terrible that I can 't erase from my memory .","Ngay sau đó, khi tôi đang đi bộ qua ga tàu hoả, Tôi nhìn thấy một điều khủng khiếp mà tôi không thể xoá khỏi ký ức của mình.","Không lâu sau đó , khi tôi đi qua một nhà ga , tôi nhìn thấy một cảnh tượng kinh hoàng mà tôi không bao giờ có thể quên"
"A lifeless woman was lying on the ground , while an emaciated child in her arms just stared helplessly at his mother 's face .","Một người phụ nữ không có sự sống nằm trên mặt đất, trong khi một đứa trẻ không có sự sống trong vòng tay nhìn chằm chằm vào khuôn mặt của mẹ mình.",Trên nền nhà ga là xác chết của một người đàn bà hai tay vẫn đang ôm một đứa bé hốc hác và đứa bé chỉ biết nhìn chằm chằm vào khuôn mặt của mẹ nó .
"But nobody helped them , because they were so focused on taking care of themselves and their families .","Nhưng không ai giúp họ, vì họ quá tập trung vào việc chăm sóc bản thân và gia đình.","Nhưng không có ai giúp họ , bởi vì tất cả đều đang phải lo cho chính mình và cả gia đình ."
