Step	Training Loss	Validation Loss	Bleu	Ter	Rouge1	Rougel
250	0.419000	0.290262	34.528427	52.313225	0.752548	0.678462
500	0.326400	0.286587	34.800746	52.096158	0.756820	0.681762
750	0.315700	0.284458	34.896314	52.173913	0.754367	0.679986
1000	0.318800	0.284286	34.799413	51.976285	0.752091	0.679039
1250	0.315800	0.283449	35.001685	52.047560	0.755533	0.681133
1500	0.316300	0.283837	34.437615	52.533532	0.751946	0.677418
1750	0.311000	0.283472	35.142027	51.914728	0.755751	0.682285
2000	0.313600	0.282538	34.885734	52.180393	0.754830	0.680829
2250	0.309500	0.282026	35.073395	52.209551	0.753928	0.680840
2500	0.306900	0.282315	35.002420	51.730059	0.756302	0.682668
2750	0.310000	0.281654	35.056495	51.846692	0.754232	0.680863
3000	0.311000	0.281669	34.930082	52.083198	0.753351	0.679717
3250	0.311700	0.281589	34.891642	52.047560	0.755611	0.680720
3500	0.303900	0.281686	34.820813	52.381261	0.755245	0.680496
3750	0.305800	0.282299	34.703310	52.335904	0.754166	0.679429
4000	0.305000	0.282130	34.979070	51.930927	0.754864	0.681688
4250	0.303900	0.282648	34.665182	52.216031	0.755878	0.681373
4500	0.284700	0.282799	34.779346	52.177153	0.755151	0.681280
4750	0.283500	0.282231	34.575636	52.329424	0.755291	0.681444
5000	0.287800	0.282950	35.066532	52.066999	0.754510	0.681349
5250	0.282400	0.282641	34.738046	52.449297	0.755078	0.680114
5500	0.281700	0.282985	35.103704	52.115596	0.755229	0.681769
5750	0.285000	0.282623	34.993686	52.284067	0.753834	0.680014
6000	0.284600	0.282732	34.879166	52.342383	0.753729	0.678728
6250	0.288300	0.282963	34.786185	52.180393	0.754459	0.680658
6500	0.282700	0.283174	34.787738	52.455777	0.752326	0.677820
6750	0.285800	0.283622	34.780553	52.251669	0.754848	0.681448
7000	0.282800	0.283338	34.545524	52.501134	0.753185	0.678880
7250	0.285000	0.283650	34.594956	52.309985	0.753798	0.678729
7500	0.288100	0.283284	34.584192	52.378021	0.753605	0.678208
7750	0.283700	0.283334	34.755656	52.527052	0.754393	0.679484
8000	0.288500	0.282929	34.863770	52.089678	0.754177	0.679090
8250	0.286300	0.283118	35.015418	52.018402	0.755364	0.680887
8500	0.274100	0.284133	34.665336	52.400700	0.754226	0.679405
8750	0.266800	0.283913	34.747132	52.335904	0.755003	0.680039
9000	0.268800	0.284677	34.894368	52.099397	0.756494	0.682901
9250	0.266900	0.284614	34.798972	52.559451	0.753165	0.678783
9500	0.261400	0.283952	35.032759	52.099397	0.755384	0.682476
9750	0.273800	0.284692	34.647750	52.141515	0.752620	0.678391
10000	0.264200	0.284589	34.573400	52.420139	0.753112	0.679655
10250	0.264800	0.285057	34.698798	52.556211	0.752907	0.678781
10500	0.266300	0.285633	34.764845	52.290546	0.754206	0.679841
10750	0.269000	0.285177	34.831377	52.186872	0.753278	0.679870
11000	0.268700	0.285041	35.051000	52.122076	0.753716	0.681443
11250	0.269200	0.285213	34.793976	52.442817	0.752470	0.678178
11500	0.270100	0.285189	34.979456	52.128556	0.755153	0.680690
11750	0.268300	0.285230	34.803290	52.459016	0.753642	0.679593
12000	0.273900	0.285383	34.772534	52.449297	0.753267	0.679359
12250	0.265500	0.284756	34.976720	52.196592	0.753488	0.680104
12500	0.268600	0.284991	34.625025	52.711722	0.751160	0.676630
12750	0.249300	0.285994	34.644483	52.429858	0.752471	0.678399
13000	0.247200	0.286402	34.472728	52.481695	0.752041	0.677051
13250	0.253100	0.285756	34.495794	52.378021	0.753062	0.679352
13500	0.256200	0.286078	34.659761	52.271107	0.754002	0.679929
13750	0.251700	0.286377	34.811811	52.011923	0.755171	0.681603
14000	0.252300	0.286590	34.628583	52.180393	0.752986	0.678800
14250	0.254900	0.285408	34.779966	52.122076	0.753706	0.679666
14500	0.255900	0.285430	34.523533	52.517333	0.751732	0.676663
14750	0.256300	0.286176	34.711407	52.559451	0.751216	0.676992
15000	0.257000	0.285813	34.657526	52.608048	0.751954	0.678795
15250	0.257300	0.286247	34.357185	52.883432	0.751354	0.678527
15500	0.256600	0.286103	34.516887	52.407179	0.751949	0.678904
15750	0.257800	0.285732	34.663972	52.394220	0.752979	0.679021
16000	0.255700	0.285848	34.811322	52.251669	0.753607	0.681053
16250	0.251800	0.286037	34.781994	52.238709	0.754066	0.680860
16500	0.254200	0.286227	34.613614	52.507614	0.753560	0.679909
16750	0.252700	0.287012	34.593908	52.552971	0.752336	0.678807
17000	0.237300	0.287675	34.563800	52.436338	0.752185	0.678338
17250	0.244100	0.287874	34.516444	52.339143	0.752009	0.678697
17500	0.244100	0.287712	34.716501	52.212791	0.753928	0.680122
17750	0.245200	0.288067	34.446680	52.572410	0.750473	0.676645
