inputs,preds,labels
"When I was little , I thought my country was the best on the planet , and I grew up singing a song called "" Nothing To Envy . ""","Khi tôi nhỏ , tôi nghĩ rằng đất nước của mình là tốt nhất và tôi lớn lên bởi một bài hát "" Không phải vì sao người đứng trước . ""","Khi tôi còn nhỏ , Tôi nghĩ rằng BắcTriều Tiên là đất nước tốt nhất trên thế giới và tôi thường hát bài "" Chúng ta chẳng có gì phải ghen tị . """
And I was very proud .,Và tôi rất tự hào .,Tôi đã rất tự hào về đất nước tôi .
"In school , we spent a lot of time studying the history of Kim Il-Sung , but we never learned much about the outside world , except that America , South Korea , Japan are the enemies .","Vào trường , chúng tôi dành rất nhiều thời gian để nghiên cứu về Accenture . Nhưng chúng tôi chưa bao giờ học được điều này , ngoại trừ con voi của thành phố Mỹ , Nhật Bản là kẻ thù của con đường thủy voi .","Ở trường , chúng tôi dành rất nhiều thời gian để học về cuộc đời của chủ tịch Kim II- Sung , nhưng lại không học nhiều về thế giới bên ngoài , ngoại trừ việc Hoa Kỳ , Hàn Quốc và Nhật Bản là kẻ thù của chúng tôi ."
"Although I often wondered about the outside world , I thought I would spend my entire life in North Korea , until everything suddenly changed .","Mặc dù tôi luôn tự hỏi rằng thế giới này sẽ sống trong suốt cuộc đời mình , và mọi thứ đều thay đổi .","Mặc dù tôi đã từng tự hỏi không biết thế giới bên ngoài kia như thế nào , nhưng tôi vẫn nghĩ rằng mình sẽ sống cả cuộc đời ở BắcTriều Tiên , cho tới khi tất cả mọi thứ đột nhiên thay đổi ."
"When I was seven years old , I saw my first public execution , but I thought my life in North Korea was normal .","Khi tôi 17 tuổi , tôi thấy khó khăn nhất trong cuộc đời mình , nhưng tôi nghĩ rằng cuộc sống của mình là bình thường .","Khi tôi lên 7 , tôi chứng kiến cảnh người ta xử bắn công khai lần đầu tiên trong đời , nhưng tôi vẫn nghĩ cuộc sống của mình ở đây là hoàn toàn bình thường ."
"My family was not poor , and myself , I had never experienced hunger .","gia đình tôi không phải là người nghèo , và tôi không bao giờ bị thiếu .","Gia đình của tôi không nghèo , và bản thân tôi thì chưa từng phải chịu đói ."
"But one day , in 1995 , my mom brought home a letter from a coworker 's sister .","Nhưng một ngày , vào năm 1999 một đứa con trai của Johnny Cash .","Nhưng vào một ngày của năm 1995 , mẹ tôi mang về nhà một lá thư từ một người chị em cùng chỗ làm với mẹ ."
"It read , "" When you read this , all five family members will not exist in this world , because we haven 't eaten for the past two weeks .","Nó đọc , "" Khi bạn đọc nó , hàng triệu người sẽ không tồn tại trong thế giới này , bởi vì chúng ta vẫn bị bắt bởi hai tuần trước .","Trong đó có viết : Khi chị đọc được những dòng này thì cả gia đình 5 người của em đã không còn trên cõi đời này nữa , bởi vì cả nhà em đã không có gì để ăn trong hai tuần ."
"We are lying on the floor together , and our bodies are so weak we are ready to die . ""","Chúng ta đang bị bơi trên sàn , và cơ thể chúng ta luôn sẵn sàng chết . ""","Tất cả cùng nằm trên sàn , và cơ thể chúng tôi yếu đến có thể cảm thấy như cái chết đang đến rất gần ."
I was so shocked .,Tôi đã rất sốc .,Tôi đã bị sốc .
