inputs,preds,labels
"Khi tôi còn nhỏ , Tôi nghĩ rằng BắcTriều Tiên là đất nước tốt nhất trên thế giới và tôi thường hát bài "" Chúng ta chẳng có gì phải ghen tị . ""","When I was like, I thought the BcTrin was the most beautiful place in the world and I thought, "" We have to have a sex. ""","When I was little , I thought my country was the best on the planet , and I grew up singing a song called "" Nothing To Envy . """
Tôi đã rất tự hào về đất nước tôi .,I've been very impressed with my country.,And I was very proud .
"Ở trường , chúng tôi dành rất nhiều thời gian để học về cuộc đời của chủ tịch Kim II- Sung , nhưng lại không học nhiều về thế giới bên ngoài , ngoại trừ việc Hoa Kỳ , Hàn Quốc và Nhật Bản là kẻ thù của chúng tôi .","In the middle, we spent a lot of time studying the world's history of Kim II-Sung, but in the middle of the Middle East, the Middle East and the Middle East are our own.","In school , we spent a lot of time studying the history of Kim Il-Sung , but we never learned much about the outside world , except that America , South Korea , Japan are the enemies ."
"Mặc dù tôi đã từng tự hỏi không biết thế giới bên ngoài kia như thế nào , nhưng tôi vẫn nghĩ rằng mình sẽ sống cả cuộc đời ở BắcTriều Tiên , cho tới khi tất cả mọi thứ đột nhiên thay đổi .","I was a little bit surprised by the world's history, but I think that my life will be a little more important when all of the changes are going to happen.","Although I often wondered about the outside world , I thought I would spend my entire life in North Korea , until everything suddenly changed ."
"Khi tôi lên 7 , tôi chứng kiến cảnh người ta xử bắn công khai lần đầu tiên trong đời , nhưng tôi vẫn nghĩ cuộc sống của mình ở đây là hoàn toàn bình thường .","When I was seven, I 'd never been able to get people to be able to get their first job in the first place, but I 'd thought my life was a whole new one.","When I was seven years old , I saw my first public execution , but I thought my life in North Korea was normal ."
"Gia đình của tôi không nghèo , và bản thân tôi thì chưa từng phải chịu đói .","My voice is not, and you can see that I'm not going to be.","My family was not poor , and myself , I had never experienced hunger ."
"Nhưng vào một ngày của năm 1995 , mẹ tôi mang về nhà một lá thư từ một người chị em cùng chỗ làm với mẹ .","But in my last day of 1995, I was a little bit surprised by a person who didn 't do anything with him.","But one day , in 1995 , my mom brought home a letter from a coworker 's sister ."
"Trong đó có viết : Khi chị đọc được những dòng này thì cả gia đình 5 người của em đã không còn trên cõi đời này nữa , bởi vì cả nhà em đã không có gì để ăn trong hai tuần .","In that case, when these five-year-olds are not on this planet, because they don 't have a meal in two weeks.","It read , "" When you read this , all five family members will not exist in this world , because we haven 't eaten for the past two weeks ."
"Tất cả cùng nằm trên sàn , và cơ thể chúng tôi yếu đến có thể cảm thấy như cái chết đang đến rất gần .","All of the sand, and we can feel like the sand is very hot.","We are lying on the floor together , and our bodies are so weak we are ready to die . """
Tôi đã bị sốc .,I was a little bit scared.,I was so shocked .
Vì đó là lần đầu tiên tôi biết rằng đồng bào của tôi đang phải chịu đựng như vậy .,So that's the first time I know that my brain is going to be able to do this.,This was the first time I heard that people in my country were suffering .
"Không lâu sau đó , khi tôi đi qua một nhà ga , tôi nhìn thấy một cảnh tượng kinh hoàng mà tôi không bao giờ có thể quên","But then, when I went to a restaurant, I saw a small, small, small, small, small, small, small, small, small, small, small,","Soon after , when I was walking past a train station , I saw something terrible that I can 't erase from my memory ."
Trên nền nhà ga là xác chết của một người đàn bà hai tay vẫn đang ôm một đứa bé hốc hác và đứa bé chỉ biết nhìn chằm chằm vào khuôn mặt của mẹ nó .,The ga is a group of two people who are sitting on a table and they know how to look at the sand on the floor of the house.,"A lifeless woman was lying on the ground , while an emaciated child in her arms just stared helplessly at his mother 's face ."
"Nhưng không có ai giúp họ , bởi vì tất cả đều đang phải lo cho chính mình và cả gia đình .","But there's no one who's going to be, because all of the people are going to be able to serve their families and their families.","But nobody helped them , because they were so focused on taking care of themselves and their families ."
"Vào giữa những năm 90 , Bắc Triều Tiên trải qua một nạn đói trầm trọng .","In the late 90s, the United States was re-elected to a new level.",A huge famine hit North Korea in the mid-1990s .
"Nó khiến hơn một triệu người Triều Tiên chết trong nạn đói , và nhiều người chỉ sống sót phải ăn cỏ , sâu bọ và vỏ cây .","It's a more populated population in the world, and many people don 't have food, food and water.","Ultimately , more than a million North Koreans died during the famine , and many only survived by eating grass , bugs and tree bark ."
"Việc cúp điện ngày càng xảy ra thường xuyên , vì thế mọi thứ xung quanh tôi đều chìm vào bóng tối khi đêm đến ngoại trừ ánh sáng đèn từ phía Trung Quốc chỉ cách nhà tôi một con sông .","The day was going to be a very, very long time, when I was able to get to the front of the ice in China, I had a sand.","Power outages also became more and more frequent , so everything around me was completely dark at night except for the sea of lights in China , just across the river from my home ."
Tôi lúc nào cũng tự hỏi là tại sao họ lại có điện còn chúng tôi thì không .,I'm afraid that they're going to have to have something that we can 't do.,I always wondered why they had lights but we didn 't .
Đây là một bức ảnh từ vệ tinh chụp Bắc Triều Tiên vào ban đêm trong tương quan với các nước xung quanh .,"This is a study of the American's sex, which is a study of the sex of the sex of the sex of the sex.",This is a satellite picture showing North Korea at night compared to neighbors .
Đây là sông Áp Lục nó là biên giới tự nhiên giữa Bắc Triều Tiên và Trung Quốc .,"This is the sand, which is the most important part of the Middle East and China.","This is the Amrok River , which serves as a part of the border between North Korea and China ."
Có thể thấy là lòng sông có đoạn rất hẹp vì thế một số người Bắc Triều Tiên bí mật vượt sang Trung Quốc .,"It's actually a very good idea to have a Chinese-American, a Chinese.","As you can see , the river can be very narrow at certain points , allowing North Koreans to secretly cross ."
Nhưng rất nhiều người đã chết .,But many people were.,But many die .
Và tôi đã nhìn thấy xác họ nổi trên sông .,And I saw them on the ground.,"Sometimes , I saw dead bodies floating down the river ."
Tôi không thể nói cụ thể về việc mình đã trốn khỏi Bắc Triều Tiên như thế nào chỉ có thể nói rằng trong những năm tháng khốn khó vì nạn đói ấy tôi được gửi sang Trung Quốc để sống với một người họ hàng xa .,"I can 't talk about the world's economic crisis, but I can say that in the last few years I've been in China to get a lot of people to come.","I can 't reveal many details [ about ] how I left North Korea , but I only can say that during the ugly years of the famine I was sent to China to live with distant relatives ."
"Lúc đó , tôi chỉ nghĩ rằng mình sẽ phải xa gia đình một thời gian ngắn .",So I think that the world will be in a moment.,But I only thought that I would be separated from my family for a short time .
chứ không bao giờ tôi có thể tưởng tượng rằng tôi sẽ phải xa họ những 14 năm ròng .,I can 't imagine that I 'll have to go back to 14 years.,I could have never imagined that it would take 14 years to live together .
"Ở Trung Quốc , cuộc sống của một cô bé bị cách ly khỏi gia đình như tôi rất khó khăn .","In China, her life was like my mother's death.","In China , it was hard living as a young girl without my family ."
