Step	Training Loss	Validation Loss	Bleu	Ter	Rouge1	Rougel
250	2.162800	1.096764	0.521002	104.353476	0.097115	0.086380
500	1.143700	1.064587	0.972787	104.639376	0.117235	0.102468
750	1.089600	1.050066	1.144112	104.132554	0.126980	0.112194
1000	1.095500	1.040642	1.328784	104.972926	0.138211	0.122988
1250	1.077500	1.032666	1.388955	102.269872	0.145518	0.128770
1500	1.068300	1.026782	1.555567	103.950617	0.146068	0.130340
1750	1.061400	1.020347	1.634174	102.642408	0.152532	0.136965
2000	1.059200	1.014594	1.648684	103.326836	0.159372	0.141700
2250	1.045200	1.009935	1.934424	106.038553	0.164829	0.148806
2500	1.027800	1.004518	2.106856	104.188867	0.172647	0.157896
2750	1.044800	0.999143	2.252182	102.889322	0.182297	0.165301
3000	1.040200	0.994476	2.286156	101.303877	0.186529	0.170626
3250	1.037100	0.991590	2.424057	102.083604	0.196336	0.179131
3500	1.015200	0.985237	2.609170	102.157245	0.203719	0.185488
3750	1.012400	0.981010	2.596388	101.776045	0.204448	0.187336
4000	1.019500	0.977570	2.742878	104.678363	0.209052	0.191922
4250	1.025800	0.972629	2.925537	102.287199	0.215092	0.197233
4500	1.000000	0.968311	3.159274	100.948668	0.222480	0.204713
4750	1.003700	0.964684	3.263418	99.579814	0.228125	0.210455
5000	1.010100	0.960824	3.486877	99.995668	0.230582	0.212260
5250	0.991900	0.958779	3.500702	98.657137	0.231889	0.214064
5500	0.986200	0.955309	3.823957	99.670782	0.239526	0.220258
5750	0.992500	0.950842	3.957791	99.649123	0.241434	0.222800
6000	0.986500	0.948666	4.147657	97.929391	0.247146	0.226243
6250	0.983100	0.946322	4.200885	100.121291	0.247239	0.227342
6500	0.976400	0.942853	4.429245	98.691791	0.252030	0.231267
6750	0.984700	0.940457	4.471030	98.791423	0.252830	0.232217
7000	0.970700	0.938063	4.639349	99.514836	0.256978	0.235377
7250	0.977000	0.936263	4.613479	97.418237	0.257306	0.236543
7500	0.983800	0.932803	4.730498	99.904700	0.257318	0.236944
7750	0.974600	0.932237	4.689001	97.058696	0.264800	0.242410
8000	0.982100	0.930422	4.797095	97.556855	0.262845	0.242977
8250	0.971100	0.926964	4.876241	97.786441	0.264538	0.243591
8500	0.976700	0.926563	5.062710	96.790123	0.267151	0.245411
8750	0.960000	0.923590	5.135575	97.370587	0.268811	0.246734
9000	0.962200	0.922137	5.149504	97.132337	0.271476	0.249216
9250	0.948600	0.920217	5.158302	97.847087	0.270111	0.248074
9500	0.946600	0.918721	5.255235	96.664501	0.276053	0.253240
9750	0.983000	0.917190	5.232128	97.028373	0.270919	0.249986
10000	0.941000	0.915332	5.371734	97.128005	0.276630	0.254165
10250	0.940500	0.913624	5.304853	96.248646	0.276222	0.255653
10500	0.941500	0.911483	5.311787	96.101365	0.275278	0.254983
10750	0.951100	0.910313	5.406396	96.850769	0.277876	0.256696
11000	0.950500	0.908519	5.437185	96.136019	0.279347	0.258320
11250	0.949200	0.906529	5.585474	96.829110	0.280056	0.259370
11500	0.948500	0.905569	5.678242	96.049383	0.282678	0.261651
11750	0.949500	0.904321	5.666465	95.183019	0.284296	0.263200
12000	0.953400	0.902542	5.919460	94.702188	0.286185	0.264932
12250	0.932400	0.900189	5.983293	95.005415	0.287151	0.265885
12500	0.935700	0.899032	5.913210	95.611869	0.286351	0.266147
12750	0.927200	0.898225	6.013556	94.303660	0.289677	0.268971
13000	0.918400	0.896513	6.100141	94.598224	0.293202	0.270746
13250	0.937100	0.894367	6.191479	94.758501	0.294896	0.273535
13500	0.939600	0.892980	6.282865	94.611219	0.295250	0.273358
13750	0.931300	0.891514	6.394785	94.966428	0.294615	0.272930
14000	0.927700	0.889602	6.422581	93.753520	0.296687	0.275030
14250	0.927100	0.889284	6.463763	92.804852	0.298272	0.277021
14500	0.924200	0.887662	6.468736	93.367988	0.300921	0.278548
14750	0.936800	0.887166	6.590380	92.869829	0.303396	0.280628
15000	0.923300	0.885458	6.710997	93.229370	0.302946	0.281368
15250	0.932800	0.884523	6.659118	92.354343	0.303855	0.282822
15500	0.926700	0.883579	6.636608	92.982456	0.307451	0.284401
15750	0.929400	0.882204	6.794384	92.913147	0.307402	0.285422
16000	0.918200	0.881679	6.828677	93.688542	0.306167	0.285251
16250	0.911400	0.880150	7.025828	93.597574	0.311014	0.287639
16500	0.918600	0.879039	6.968754	93.056097	0.308306	0.286065
16750	0.924700	0.877975	7.028111	92.965129	0.312406	0.290047
17000	0.910400	0.876075	7.039844	92.869829	0.312418	0.290133
17250	0.923800	0.875409	7.095285	92.865497	0.313706	0.290889
17500	0.924600	0.874102	7.095179	93.584579	0.313220	0.290764
17750	0.919400	0.873187	7.069994	91.734893	0.315221	0.292503
18000	0.906400	0.873060	7.238890	91.825861	0.317262	0.293862
18250	0.915500	0.872317	7.372920	93.073424	0.316635	0.293071
18500	0.913600	0.871288	7.363137	92.332684	0.316608	0.292588
18750	0.915400	0.870704	7.423542	92.124756	0.319158	0.295239
19000	0.898400	0.869710	7.353194	91.388347	0.319544	0.296007
19250	0.916700	0.868732	7.416243	91.124107	0.319153	0.296462
19500	0.906900	0.868249	7.495710	91.427334	0.321546	0.297136
19750	0.903300	0.867699	7.519833	92.423652	0.318237	0.296803
20000	0.900900	0.865547	7.651260	92.570934	0.321265	0.298595
20250	0.913400	0.865128	7.685165	91.825861	0.323293	0.299880
20500	0.898300	0.864656	7.600324	91.371020	0.325556	0.302711
20750	0.893400	0.863313	7.628489	90.760234	0.326127	0.303701
21000	0.902500	0.862506	7.785776	91.587611	0.325120	0.302070
21250	0.904100	0.862460	7.859648	91.665584	0.325581	0.302581
21500	0.903100	0.861502	7.982175	91.193416	0.329159	0.305624
21750	0.900000	0.861402	7.969100	90.660602	0.328988	0.305583
22000	0.893800	0.861094	7.911027	89.824561	0.330537	0.307777
22250	0.920000	0.859362	7.938974	91.392679	0.327932	0.305914
22500	0.894100	0.859042	7.999565	91.041802	0.328333	0.306446
22750	0.895000	0.858522	8.048814	91.353693	0.330324	0.307460
23000	0.887700	0.858366	8.029933	90.578298	0.332386	0.308916
23250	0.885600	0.858286	8.023738	90.820879	0.331859	0.309072
23500	0.895100	0.857086	7.911901	90.721248	0.331483	0.308586
23750	0.891800	0.855909	8.050600	90.916179	0.334184	0.311047
24000	0.901700	0.855648	8.134091	90.032489	0.334144	0.310884
24250	0.897100	0.854585	8.099106	90.604288	0.334423	0.311011
24500	0.896200	0.854505	8.187052	90.305393	0.333490	0.310828
24750	0.896900	0.854169	8.173603	89.937189	0.335848	0.313233
25000	0.898900	0.852993	8.120007	90.898852	0.333216	0.310587
25250	0.888600	0.852599	8.222215	90.465670	0.333940	0.311948
25500	0.897600	0.852584	8.273651	90.054148	0.336888	0.313601
25750	0.904500	0.851544	8.262491	90.127789	0.336545	0.314068
26000	0.883900	0.852164	8.333018	89.590643	0.340138	0.317341
26250	0.904600	0.850994	8.404498	89.941520	0.339479	0.316496
26500	0.893500	0.849719	8.425117	90.015161	0.340811	0.317534
26750	0.879400	0.849673	8.353224	89.482348	0.340142	0.316822
27000	0.884200	0.849171	8.425437	89.473684	0.342311	0.318182
