inputs,preds,labels
"Khi tôi còn nhỏ , Tôi nghĩ rằng BắcTriều Tiên là đất nước tốt nhất trên thế giới và tôi thường hát bài "" Chúng ta chẳng có gì phải ghen tị . ""","When I was a kid, I thought North Korea was the best country in the world, and I used to sing "" We Have Nothing to Be jealous of. ""","When I was little , I thought my country was the best on the planet , and I grew up singing a song called "" Nothing To Envy . """
Tôi đã rất tự hào về đất nước tôi .,I was very proud of my country.,And I was very proud .
"Ở trường , chúng tôi dành rất nhiều thời gian để học về cuộc đời của chủ tịch Kim II- Sung , nhưng lại không học nhiều về thế giới bên ngoài , ngoại trừ việc Hoa Kỳ , Hàn Quốc và Nhật Bản là kẻ thù của chúng tôi .","In school, we spend a lot of time learning about Kim II- Sung's life, but we don 't learn a lot about the outside world, except that the United States, Korea and Japan are our enemies","In school , we spent a lot of time studying the history of Kim Il-Sung , but we never learned much about the outside world , except that America , South Korea , Japan are the enemies ."
"Mặc dù tôi đã từng tự hỏi không biết thế giới bên ngoài kia như thế nào , nhưng tôi vẫn nghĩ rằng mình sẽ sống cả cuộc đời ở BắcTriều Tiên , cho tới khi tất cả mọi thứ đột nhiên thay đổi .","Although I used to wonder what the world was like outside, I still thought that I was going to spend my life in North Korea, until suddenly everything changed.","Although I often wondered about the outside world , I thought I would spend my entire life in North Korea , until everything suddenly changed ."
"Khi tôi lên 7 , tôi chứng kiến cảnh người ta xử bắn công khai lần đầu tiên trong đời , nhưng tôi vẫn nghĩ cuộc sống của mình ở đây là hoàn toàn bình thường .","When I was seven years old, I saw people take open shootings for the first time in their lives, but I still think my life here was perfectly normal.","When I was seven years old , I saw my first public execution , but I thought my life in North Korea was normal ."
"Gia đình của tôi không nghèo , và bản thân tôi thì chưa từng phải chịu đói .","My family wasn 't poor, and I myself had never been hungry.","My family was not poor , and myself , I had never experienced hunger ."
"Nhưng vào một ngày của năm 1995 , mẹ tôi mang về nhà một lá thư từ một người chị em cùng chỗ làm với mẹ .","But one day, of 1995, my mother brought home a letter from a sister at work with her mother.","But one day , in 1995 , my mom brought home a letter from a coworker 's sister ."
"Trong đó có viết : Khi chị đọc được những dòng này thì cả gia đình 5 người của em đã không còn trên cõi đời này nữa , bởi vì cả nhà em đã không có gì để ăn trong hai tuần .","It says, when you read this, your five family members were no longer in the world, because we had nothing to eat for two weeks.","It read , "" When you read this , all five family members will not exist in this world , because we haven 't eaten for the past two weeks ."
"Tất cả cùng nằm trên sàn , và cơ thể chúng tôi yếu đến có thể cảm thấy như cái chết đang đến rất gần .","It was all lying on the floor, and our bodies were so weak that it felt like death was coming very close.","We are lying on the floor together , and our bodies are so weak we are ready to die . """
Tôi đã bị sốc .,I was shocked.,I was so shocked .
Vì đó là lần đầu tiên tôi biết rằng đồng bào của tôi đang phải chịu đựng như vậy .,Because that's the first time I've ever known that my people are suffering.,This was the first time I heard that people in my country were suffering .
"Không lâu sau đó , khi tôi đi qua một nhà ga , tôi nhìn thấy một cảnh tượng kinh hoàng mà tôi không bao giờ có thể quên","Shortly after, as I walked through a train station, I saw a terrible sight that I could never forget.","Soon after , when I was walking past a train station , I saw something terrible that I can 't erase from my memory ."
Trên nền nhà ga là xác chết của một người đàn bà hai tay vẫn đang ôm một đứa bé hốc hác và đứa bé chỉ biết nhìn chằm chằm vào khuôn mặt của mẹ nó .,On the platform is the dead body of a woman with two hands still holding a tiny baby and the baby just stares at her mother's face.,"A lifeless woman was lying on the ground , while an emaciated child in her arms just stared helplessly at his mother 's face ."
"Nhưng không có ai giúp họ , bởi vì tất cả đều đang phải lo cho chính mình và cả gia đình .","But nobody's helping them, because they're all taking care of themselves and their families.","But nobody helped them , because they were so focused on taking care of themselves and their families ."
"Vào giữa những năm 90 , Bắc Triều Tiên trải qua một nạn đói trầm trọng .","In the mid-'90s, North Korea experienced a severe famine.",A huge famine hit North Korea in the mid-1990s .
"Nó khiến hơn một triệu người Triều Tiên chết trong nạn đói , và nhiều người chỉ sống sót phải ăn cỏ , sâu bọ và vỏ cây .","It killed more than a million Koreans in hunger, and many of the people who survived were eating grass, bugs and bark.","Ultimately , more than a million North Koreans died during the famine , and many only survived by eating grass , bugs and tree bark ."
"Việc cúp điện ngày càng xảy ra thường xuyên , vì thế mọi thứ xung quanh tôi đều chìm vào bóng tối khi đêm đến ngoại trừ ánh sáng đèn từ phía Trung Quốc chỉ cách nhà tôi một con sông .","The blackouts happened more and more, so everything around me fell into darkness at night except that the light from the Chinese side was just a river away from my home.","Power outages also became more and more frequent , so everything around me was completely dark at night except for the sea of lights in China , just across the river from my home ."
Tôi lúc nào cũng tự hỏi là tại sao họ lại có điện còn chúng tôi thì không .,I always wondered why they had electricity and we didn 't.,I always wondered why they had lights but we didn 't .
Đây là một bức ảnh từ vệ tinh chụp Bắc Triều Tiên vào ban đêm trong tương quan với các nước xung quanh .,This is a picture from a satellite photograph of North Korea at night in relation to the surrounding countries.,This is a satellite picture showing North Korea at night compared to neighbors .
Đây là sông Áp Lục nó là biên giới tự nhiên giữa Bắc Triều Tiên và Trung Quốc .,"This is the Alpha River, and this is the border between North Korea and China.","This is the Amrok River , which serves as a part of the border between North Korea and China ."
Có thể thấy là lòng sông có đoạn rất hẹp vì thế một số người Bắc Triều Tiên bí mật vượt sang Trung Quốc .,"You can see the riverbed was narrow, so some North Koreans secretly went to China.","As you can see , the river can be very narrow at certain points , allowing North Koreans to secretly cross ."
Nhưng rất nhiều người đã chết .,But a lot of people died.,But many die .
