Step	Training Loss	Validation Loss	Bleu	Ter	Rouge1	Rougel
250	0.624800	0.363531	36.307802	50.008636	0.675941	0.653449
500	0.464300	0.363666	36.389815	49.693410	0.675703	0.653413
750	0.451500	0.363181	36.312850	50.030227	0.675941	0.652791
1000	0.456100	0.363631	36.400368	50.077727	0.676311	0.653872
1250	0.452200	0.362864	36.394398	49.831592	0.676727	0.653647
1500	0.454300	0.362743	36.468288	50.056136	0.676580	0.654632
1750	0.445900	0.362961	36.444846	50.362726	0.672775	0.650632
2000	0.449400	0.361765	36.041261	50.362726	0.674221	0.651453
2250	0.445700	0.361612	36.056028	50.112272	0.675093	0.653296
2500	0.438400	0.360535	36.333986	50.315226	0.674920	0.652079
2750	0.444400	0.360221	35.987914	50.306590	0.674575	0.652109
3000	0.443100	0.359358	36.104368	50.025909	0.675959	0.652467
3250	0.443800	0.358619	36.426359	49.943864	0.675524	0.652554
3500	0.428700	0.358595	36.609264	49.892046	0.677229	0.653818
3750	0.437000	0.357645	36.515657	49.814319	0.676389	0.654087
4000	0.439200	0.357545	36.503848	50.189999	0.675783	0.652785
4250	0.429200	0.357198	36.278165	50.224544	0.672443	0.649603
4500	0.393500	0.357133	36.268012	50.051818	0.673863	0.651457
4750	0.392500	0.358498	35.481801	50.677951	0.671670	0.648397
5000	0.397300	0.359148	35.891497	50.060454	0.675528	0.652784
5250	0.391200	0.358704	35.660379	50.319544	0.671890	0.649099
5500	0.389400	0.358606	36.290328	49.749547	0.674544	0.652096
5750	0.395400	0.358755	36.493876	50.056136	0.677198	0.654575
6000	0.395200	0.358246	35.874496	50.297953	0.673671	0.650724
6250	0.393400	0.358528	36.319754	49.766819	0.678404	0.655720
6500	0.392300	0.358554	36.270649	49.948182	0.676086	0.653000
6750	0.393700	0.358734	36.131950	50.354089	0.674809	0.652202
7000	0.392200	0.358481	36.043409	50.241817	0.673514	0.651053
7250	0.395600	0.358398	35.993278	50.151136	0.674999	0.651740
7500	0.396100	0.358359	35.891030	50.332498	0.674577	0.651869
7750	0.394300	0.357444	35.959781	50.125227	0.674596	0.652067
8000	0.398300	0.357358	36.326657	49.680456	0.676156	0.653805
8250	0.393100	0.357193	36.061522	50.047500	0.675236	0.652451
8500	0.374700	0.357748	36.306595	50.090681	0.675791	0.652523
8750	0.357900	0.358061	36.098432	50.021591	0.673760	0.651275
9000	0.362700	0.358624	36.064328	49.961137	0.674404	0.650825
9250	0.358500	0.358766	35.938835	50.017273	0.675158	0.653316
9500	0.356400	0.358112	36.552466	49.697729	0.676556	0.653934
9750	0.372600	0.358571	36.363691	50.120909	0.676377	0.654168
10000	0.356200	0.358946	35.796125	50.639088	0.673481	0.650522
10250	0.358600	0.359854	36.254128	50.202954	0.674798	0.651776
10500	0.360400	0.359801	35.986172	50.151136	0.674860	0.652511
10750	0.364000	0.359568	35.671054	50.323862	0.672319	0.649874
11000	0.362800	0.359655	36.012534	50.341135	0.672411	0.648940
11250	0.363000	0.359772	35.898816	50.604543	0.672549	0.649988
11500	0.364500	0.359689	35.820463	50.233181	0.673482	0.650319
11750	0.363200	0.359253	36.029565	50.064772	0.673248	0.651122
12000	0.371500	0.359209	36.054000	50.164090	0.673934	0.651325
12250	0.360100	0.358519	35.879995	50.323862	0.673565	0.650527
12500	0.363600	0.358599	36.408908	49.542275	0.675476	0.653203
12750	0.332500	0.358898	36.177653	50.202954	0.673547	0.651690
13000	0.325800	0.360090	36.008196	49.956818	0.674953	0.652355
13250	0.334400	0.359539	36.175168	50.043182	0.677375	0.654616
