inputs,preds,labels
"Khi tôi còn nhỏ , Tôi nghĩ rằng BắcTriều Tiên là đất nước tốt nhất trên thế giới và tôi thường hát bài "" Chúng ta chẳng có gì phải ghen tị . ""","When I was a little , I think that the best part of the world is the best and I said , "" We don ' t have to be able to have the most","When I was little , I thought my country was the best on the planet , and I grew up singing a song called "" Nothing To Envy . """
Tôi đã rất tự hào về đất nước tôi .,I was so proud of my country .,And I was very proud .
"Ở trường , chúng tôi dành rất nhiều thời gian để học về cuộc đời của chủ tịch Kim II- Sung , nhưng lại không học nhiều về thế giới bên ngoài , ngoại trừ việc Hoa Kỳ , Hàn Quốc và Nhật Bản là kẻ thù của chúng tôi .","In school , we 're working on a lot of the life of the future , the ancient God , but the reason is that , the Middle East is not in the world , and the United States is called us .","In school , we spent a lot of time studying the history of Kim Il-Sung , but we never learned much about the outside world , except that America , South Korea , Japan are the enemies ."
"Mặc dù tôi đã từng tự hỏi không biết thế giới bên ngoài kia như thế nào , nhưng tôi vẫn nghĩ rằng mình sẽ sống cả cuộc đời ở BắcTriều Tiên , cho tới khi tất cả mọi thứ đột nhiên thay đổi .","Even though I ' ve got to ask the world , but I think it 's possible that I ' ve probably been able to live in the rest and all the time , all the time is going to change .","Although I often wondered about the outside world , I thought I would spend my entire life in North Korea , until everything suddenly changed ."
"Khi tôi lên 7 , tôi chứng kiến cảnh người ta xử bắn công khai lần đầu tiên trong đời , nhưng tôi vẫn nghĩ cuộc sống của mình ở đây là hoàn toàn bình thường .","When I was in the morning , I saw the audience , and the first time I was in my life , I was in my life , I was really feeling very well .","When I was seven years old , I saw my first public execution , but I thought my life in North Korea was normal ."
"Gia đình của tôi không nghèo , và bản thân tôi thì chưa từng phải chịu đói .","In my life , I ' m not poor , and I ' m not going to have a chance to be","My family was not poor , and myself , I had never experienced hunger ."
"Nhưng vào một ngày của năm 1995 , mẹ tôi mang về nhà một lá thư từ một người chị em cùng chỗ làm với mẹ .","But in a day , my mother went to a day , and I went to a house with a mother that was working on her mother .","But one day , in 1995 , my mom brought home a letter from a coworker 's sister ."
"Trong đó có viết : Khi chị đọc được những dòng này thì cả gia đình 5 người của em đã không còn trên cõi đời này nữa , bởi vì cả nhà em đã không có gì để ăn trong hai tuần .","There 's a man who read her when he read these guys , when they 're all five - year - old , children didn ' t even have any time in the room .","It read , "" When you read this , all five family members will not exist in this world , because we haven 't eaten for the past two weeks ."
"Tất cả cùng nằm trên sàn , và cơ thể chúng tôi yếu đến có thể cảm thấy như cái chết đang đến rất gần .","All the right on the floor , and our body is always able to feel the same thing as the pain is in the middle .","We are lying on the floor together , and our bodies are so weak we are ready to die . """
Tôi đã bị sốc .,I was shocked .,I was so shocked .
Vì đó là lần đầu tiên tôi biết rằng đồng bào của tôi đang phải chịu đựng như vậy .,"Because the first time I was told that my life was in my life , that was in the past .",This was the first time I heard that people in my country were suffering .
"Không lâu sau đó , khi tôi đi qua một nhà ga , tôi nhìn thấy một cảnh tượng kinh hoàng mà tôi không bao giờ có thể quên","Not a long time after , when I was in the morning , I saw a chance to see a pain that was never never never never done by him","Soon after , when I was walking past a train station , I saw something terrible that I can 't erase from my memory ."
Trên nền nhà ga là xác chết của một người đàn bà hai tay vẫn đang ôm một đứa bé hốc hác và đứa bé chỉ biết nhìn chằm chằm vào khuôn mặt của mẹ nó .,"The ocean was the guy in the morning , and the two woman is still alive and she was able to see her as a child in her head .","A lifeless woman was lying on the ground , while an emaciated child in her arms just stared helplessly at his mother 's face ."
"Nhưng không có ai giúp họ , bởi vì tất cả đều đang phải lo cho chính mình và cả gia đình .","But no one has to help them , because all of you is to be brought into and family .","But nobody helped them , because they were so focused on taking care of themselves and their families ."
"Vào giữa những năm 90 , Bắc Triều Tiên trải qua một nạn đói trầm trọng .","The middle in the middle , the short , is a very large event .",A huge famine hit North Korea in the mid-1990s .
"Nó khiến hơn một triệu người Triều Tiên chết trong nạn đói , và nhiều người chỉ sống sót phải ăn cỏ , sâu bọ và vỏ cây .","It takes more than a million people in the ocean , and many people have lost against the plant , and the landscape is not just a virus .","Ultimately , more than a million North Koreans died during the famine , and many only survived by eating grass , bugs and tree bark ."
"Việc cúp điện ngày càng xảy ra thường xuyên , vì thế mọi thứ xung quanh tôi đều chìm vào bóng tối khi đêm đến ngoại trừ ánh sáng đèn từ phía Trung Quốc chỉ cách nhà tôi một con sông .","The Luminous Room is more important , so all of the things I ' m going to go in , and all the dark light in my dark space is in the middle .","Power outages also became more and more frequent , so everything around me was completely dark at night except for the sea of lights in China , just across the river from my home ."
Tôi lúc nào cũng tự hỏi là tại sao họ lại có điện còn chúng tôi thì không .,I ' m even asking you why they 're going to be able to be the same thing .,I always wondered why they had lights but we didn 't .
Đây là một bức ảnh từ vệ tinh chụp Bắc Triều Tiên vào ban đêm trong tương quan với các nước xung quanh .,This is a picture from the night by the night in the back of the Middle East in the dark .,This is a satellite picture showing North Korea at night compared to neighbors .
Đây là sông Áp Lục nó là biên giới tự nhiên giữa Bắc Triều Tiên và Trung Quốc .,This is the Chinese behavior between the water and the Chinese .,"This is the Amrok River , which serves as a part of the border between North Korea and China ."
Có thể thấy là lòng sông có đoạn rất hẹp vì thế một số người Bắc Triều Tiên bí mật vượt sang Trung Quốc .,"There 's a very popular way to get a little bit of joy , a few things that are going to come out","As you can see , the river can be very narrow at certain points , allowing North Koreans to secretly cross ."
Nhưng rất nhiều người đã chết .,But many people die to death .,But many die .
Và tôi đã nhìn thấy xác họ nổi trên sông .,And I saw the rock in the middle of the Pacific .,"Sometimes , I saw dead bodies floating down the river ."
Tôi không thể nói cụ thể về việc mình đã trốn khỏi Bắc Triều Tiên như thế nào chỉ có thể nói rằng trong những năm tháng khốn khó vì nạn đói ấy tôi được gửi sang Trung Quốc để sống với một người họ hàng xa .,"I can ' t tell you about how I was able to get up in the context of the West because I was able to talk about the Chinese , because the Chinese is in the middle .","I can 't reveal many details [ about ] how I left North Korea , but I only can say that during the ugly years of the famine I was sent to China to live with distant relatives ."
"Lúc đó , tôi chỉ nghĩ rằng mình sẽ phải xa gia đình một thời gian ngắn .","At that time , I think I 'll be going to be a very high time time .",But I only thought that I would be separated from my family for a short time .
chứ không bao giờ tôi có thể tưởng tượng rằng tôi sẽ phải xa họ những 14 năm ròng .,"I can never imagine that I would have to be able to get up to the age of six , and I would",I could have never imagined that it would take 14 years to live together .
"Ở Trung Quốc , cuộc sống của một cô bé bị cách ly khỏi gia đình như tôi rất khó khăn .","In China , a woman has been lost for me to be a family - being , very difficult family .","In China , it was hard living as a young girl without my family ."
"Tôi đã không tưởng được những gì xảy đến với cuộc sống của một người tị nạn từ Bắc Triều Tiên thì sẽ như thế nào , nhưng tôi sớm nhận ra rằng nó không những rất khó khăn , mà còn vô cùng nguy hiểm , vì những người tị nạn từ Bắc Triều Tiên vào Trung Quốc đều bị coi là dân nhập cư trái phép .","I was so surprised to go to the life of a series of mine determination what it was , but I was going to be able to think that it 's not very important for the Chinese , because the Chinese is really , the Chinese and the Chinese is still in the middle .","I had no idea what life was going to be like as a North Korean refugee , but I soon learned it 's not only extremely difficult , it 's also very dangerous , since North Korean refugees are considered in China as illegal migrants ."
"Tôi luôn sống trong một nỗi sợ thường trực rằng danh tính của tôi sẽ bị phát hiện , và tôi sẽ bị trả về với cuộc sống cũ ở Bắc Triều Tiên .","I always live in a very clear way that my favorite thing is to be able to get up with the rest of the life , and I will be in the same way","So I was living in constant fear that my identity could be revealed , and I would be repatriated to a horrible fate back in North Korea ."
"Một ngày , cơn ác mộng đó đã thành sự thật , tôi đã bị cảnh sát Trung Quốc bắt và đưa đến đồn cảnh sát để chất vấn .","One day , a little bit of joy that I had in fact , I was in the Chinese and the Chinese to go to the Chinese .","One day , my worst nightmare came true , when I was caught by the Chinese police and brought to the police station for interrogation ."
"Có ai đó đã báo với họ rằng tôi là người Bắc Triều Tiên , vì thế họ đã kiểm tra khả năng tiếng Trung của tôi và hỏi tôi rất nhiều câu hỏi .","There 's a man who 's been to them with me , who is the Chinese , and they were able to be the same thing , and I was asked to ask for a lot","Someone had accused me of being North Korean , so they tested my Chinese language abilities and asked me tons of questions ."
"Tôi đã vô cùng sợ hãi , và có cảm giác như tim mình sắp nổ tung .","I was so curious , and it was like my heart failure .","I was so scared , I thought my heart was going to explode ."
"Vì nếu như họ thấy có điều gì không tự nhiên , tôi sẽ bị tống vào tù và rồi bị trả về nước .","Because if they were no , I was going to be able to get up in the air and and then go to the water .","If anything seemed unnatural , I could be imprisoned and repatriated ."
"Tôi nghĩ cuộc đời mình đến đây là chấm dứt , nhưng tôi vẫn cố gắng điều khiển những cảm xúc của mình và trả lời những câu hỏi của họ .","I think I ' m going to go to this , but I ' m going to try to try and learn and learn how they are .","I thought my life was over , but I managed to control all the emotions inside me and answer the questions ."
"Sau khi hỏi xong , một trong hai cảnh sát nói với người kia , Đây là một vụ chỉ điểm sai .","And after the last : one , one of the two people talking about the two people is called The Jungle Book .","After they finished questioning me , one official said to another , "" This was a false report ."
"Nó không phải là người Bắc Triều Tiên . ""","It 's not the bad news . ""","She 's not North Korean . """
Và họ thả tôi ra . Đó quả là một phép màu .,And they 're ready to walk up and I ' m a color .,And they let me go . It was a miracle .
"Một số người Bắc Triều Tiên ở Trung Quốc đã đến những đại sứ quán của nước ngoài để xin tị nạn , nhưng rất nhiều trong số đó đã bị bắt bởi cảnh sát Trung Quốc và bị trả về nước .","Some people in China have been to come to the Chinese website , but there 's a lot of these things that were in the United States , and they were in the United States .","Some North Koreans in China seek asylum in foreign embassies , but many can be caught by the Chinese police and repatriated ."
những cô gái này đã rất may mắn .,These men are very lucky to be a very lucky man .,These girls were so lucky .
"vì mặc dù đã bị bắt , nhưng cuối cùng học cũng được thả ra nhờ vào sức ép từ cộng đồng quốc tế .","Because even though I was going to go to the world , the last step is to live in the community .","Even though they were caught , they were eventually released after heavy international pressure ."
Nhưng những người Bắc Triều Tiên này thì không được may mắn như vậy .,"But these guys are not so lucky , this is not the very very time .",These North Koreans were not so lucky .
"Hàng năm , có vô số người Bắc Triều Tiên bị bắt ở Trung Quốc và bị trả về nước , nơi mà họ bị tra tấn , bị giam cầm hoặc bị xử tử công khai .","Two years ago , there 's no evidence for the Chinese Chinese and the Chinese stuff that they are , where they 're in the middle of the country , and the less the less that","Every year , countless North Koreans are caught in China and repatriated to North Korea , where they can be tortured , imprisoned or publicly executed ."
